"Log ID",Date,Description,"Work Time (Formatted)","Work Time (Seconds)","Rest Time (Formatted)","Rest Time (Seconds)","Work Distance","Rest Distance","Stroke Rate/Cadence","Stroke Count",Pace,"Avg Watts",Cal/Hour,"Total Cal","Avg Heart Rate","Drag Factor",Age,Weight,Type,Ranked,Comments,"Date Entered"
94641479,"2024-11-30 09:34:00","40:59 row",40:59.7,2459.7,,,7016,,25,1061,2:55.2,65,523,352,0,105,40,Hwt,RowErg,No,,"2024-11-30 15:35:21"
94595810,"2024-11-29 07:42:00","11:10 row",11:10.3,670.3,,,2019,,31,357,2:45.9,77,563,103,0,107,40,Hwt,RowErg,No,,"2024-11-29 13:43:27"
94595310,"2024-11-29 07:27:00","1:00:09 BikeErg",1:00:09.1,3609.1,,,21867,,66,4008,2:45.0,78,567,565,0,54,40,,BikeErg,No,,"2024-11-29 13:28:04"
94553177,"2024-11-28 07:52:00","5:44 row",5:44.2,344.2,,,1015,,30,177,2:49.5,72,547,52,0,106,40,Hwt,RowErg,No,,"2024-11-28 13:53:35"
94552915,"2024-11-28 07:46:00","19:29 BikeErg",19:29.9,1169.9,,,6049,,57,1115,3:13.4,48,466,150,0,54,40,,BikeErg,No,,"2024-11-28 13:46:34"
94551956,"2024-11-28 07:21:00","v1500m/2:00r...5 BikeErg",16:44.4,1004.4,10:00.0,600,7500,2668,82,1876,2:13.9,146,801,221,0,54,40,,BikeErg,No,,"2024-11-28 13:22:08"
94550931,"2024-11-28 06:54:00","3:40 BikeErg",3:40.4,220.4,,,1031,,52,189,3:33.7,36,423,25,0,53,40,,BikeErg,No,,"2024-11-28 12:54:48"
94513117,"2024-11-27 07:49:00","10x500m/1:30r row",25:22.5,1522.5,15:00.0,900,5000,1404,31,1022,2:32.2,99,641,270,169,105,40,Hwt,RowErg,No,,"2024-11-27 13:50:13"
94469938,"2024-11-26 07:17:00","40:00 BikeErg",40:00.0,2400,,,15627,,71,2875,2:33.5,97,632,419,0,54,40,,BikeErg,No,,"2024-11-26 13:18:33"
94426094,"2024-11-25 07:15:00","15:00 row",15:00.0,900,,,2919,,33,501,2:34.1,96,628,155,159,103,40,Hwt,RowErg,No,,"2024-11-25 13:15:49"
94320876,"2024-11-22 07:04:00","v500m/1:00r...6 row",14:24.3,864.3,6:00.0,360,3000,292,33,524,2:24.0,117,702,166,171,104,40,Hwt,RowErg,No,,"2024-11-22 13:05:21"
94281307,"2024-11-21 07:02:00","40:00 BikeErg",40:00.0,2400,,,16062,,74,2965,2:29.4,105,661,438,0,53,40,,BikeErg,No,,"2024-11-21 13:02:58"
94239584,"2024-11-20 07:02:00","4x1000m/1:30r row",21:30.3,1290.3,6:00.0,360,4000,667,29,742,2:41.2,83,587,209,149,104,40,Hwt,RowErg,No,,"2024-11-20 13:03:19"
94056274,"2024-11-15 07:01:00","40:00 BikeErg",40:00.0,2400,,,15544,,71,2874,2:34.4,95,627,417,0,53,40,,BikeErg,No,,"2024-11-15 13:02:00"
93975128,"2024-11-13 07:04:00","25:00 row",25:00.0,1500,,,4634,,28,715,2:41.8,83,584,243,149,106,40,Hwt,RowErg,No,,"2024-11-13 13:05:37"
93794144,"2024-11-08 07:03:00","6:32 row",6:32.8,392.8,,,1027,,23,156,3:11.2,50,472,51,123,107,40,Hwt,RowErg,No,,"2024-11-08 13:03:48"
93793900,"2024-11-08 06:56:00","v2:00/1:00r...8 row",16:00.0,960,8:00.0,480,3273,1026,31,648,2:26.6,111,681,177,161,106,40,Hwt,RowErg,No,,"2024-11-08 12:56:47"
93679281,"2024-11-05 07:34:00","40:00 BikeErg",40:00.0,2400,,,15291,,71,2850,2:36.9,91,611,407,164,52,40,,BikeErg,No,,"2024-11-05 13:35:05"
93634975,"2024-11-04 07:08:00","20:00 row",20:00.0,1200,,,3509,,27,555,2:50.9,70,540,178,133,103,40,Hwt,RowErg,No,,"2024-11-04 13:09:39"
93466987,"2024-10-30 06:42:00","20:00 row",20:00.0,1200,,,3735,,29,592,2:40.6,84,590,194,0,104,40,Hwt,RowErg,No,,"2024-10-30 11:42:39"
93427136,"2024-10-29 06:52:00","v1:00/2:00r...5 BikeErg",13:00.0,780,10:00.0,600,5614,3078,80,1617,2:18.9,130,749,161,170,53,40,,BikeErg,No,,"2024-10-29 11:53:25"
93298033,"2024-10-25 07:10:00","25:07 row",25:07.8,1507.8,,,4270,,26,656,2:56.5,64,518,213,133,103,40,Hwt,RowErg,No,,"2024-10-25 12:11:48"
93261608,"2024-10-24 07:14:00","4:05 BikeErg",4:05.4,245.4,,,1055,,47,194,3:52.6,28,395,26,113,54,40,,BikeErg,No,,"2024-10-24 12:14:49"
93261218,"2024-10-24 07:01:00","40:05 BikeErg",40:05.2,2405.2,,,15218,,70,2824,2:38.0,89,605,404,154,53,40,,BikeErg,No,,"2024-10-24 12:01:49"
92999745,"2024-10-16 07:11:00","25:09 row",25:09.1,1509.1,,,4424,,27,707,2:50.5,71,542,225,143,106,40,Hwt,RowErg,No,,"2024-10-16 12:12:06"
92960817,"2024-10-15 07:16:00","30:33 BikeErg",30:33.1,1833.1,,,10738,,67,2059,2:50.7,70,542,276,0,47,40,,BikeErg,No,,"2024-10-15 12:17:02"
92920764,"2024-10-14 07:05:00","20:08 row",20:08.1,1208.1,,,3535,,27,549,2:50.8,70,541,181,0,104,40,Hwt,RowErg,No,,"2024-10-14 12:06:18"
92890656,"2024-10-13 07:19:00","5:53 row",5:53.3,353.3,,,1018,,25,150,2:53.5,67,530,51,0,103,40,Hwt,RowErg,No,,"2024-10-13 12:19:48"
92863541,"2024-10-12 07:16:00","42:49 BikeErg",42:49.4,2569.4,,,15029,,64,2758,2:50.9,70,541,385,143,54,40,,BikeErg,No,,"2024-10-12 12:17:18"
92798453,"2024-10-10 07:03:00","35:11 BikeErg",35:11.9,2111.9,,,13091,,64,2266,2:41.3,83,586,342,137,64,40,,BikeErg,No,,"2024-10-10 12:03:52"
92721626,"2024-10-08 07:05:00","10:33 row",10:33.8,633.8,,,2017,,27,296,2:37.1,90,610,106,152,105,40,Hwt,RowErg,No,,"2024-10-08 12:06:04"
92626140,"2024-10-05 08:47:00","30:04 row",30:04.4,1804.4,,,5343,,26,811,2:48.8,73,550,271,0,101,40,Hwt,RowErg,No,,"2024-10-05 13:47:37"
92349464,"2024-09-27 07:10:00","25:06 row",25:06.4,1506.4,,,4377,,26,672,2:52.0,69,536,221,141,103,40,Hwt,RowErg,No,,"2024-09-27 12:11:34"
92164916,"2024-09-22 08:08:00","20:11 row",20:11.5,1211.5,,,3432,,27,556,2:56.5,64,519,173,134,88,40,Hwt,RowErg,No,,"2024-09-22 13:09:31"
92039049,"2024-09-18 07:05:00","20:50 row",20:50.3,1250.3,,,3516,,28,593,2:57.8,62,514,177,136,88,40,Hwt,RowErg,No,,"2024-09-18 12:05:36"
91813867,"2024-09-11 07:06:00","30:11 row",30:11.8,1811.8,,,5523,,28,862,2:44.0,79,572,285,162,100,40,Hwt,RowErg,No,,"2024-09-11 12:07:16"
91739247,"2024-09-09 07:10:00","20:40 row",20:40.7,1240.7,,,3514,,26,553,2:56.5,64,518,177,136,100,40,Hwt,RowErg,No,,"2024-09-09 12:11:01"
91623003,"2024-09-05 07:17:00","22:54 row",22:54.3,1374.3,,,4018,,26,617,2:51.0,70,540,204,145,100,40,Hwt,RowErg,No,,"2024-09-05 12:17:56"
91437196,"2024-08-30 07:17:00","15:12 row",15:12.9,912.9,,,2525,,25,387,3:00.7,59,503,126,136,99,40,Hwt,RowErg,No,,"2024-08-30 12:18:00"
91294631,"2024-08-26 07:15:00","12:10 row",12:10.9,730.9,,,2066,,25,314,2:56.8,63,517,104,132,100,40,Hwt,RowErg,No,,"2024-08-26 12:16:11"
91266354,"2024-08-25 08:31:00","10:09 BikeErg",10:09.0,609,,,3311,,55,564,3:03.9,56,493,82,141,69,40,,BikeErg,No,,"2024-08-25 13:32:06"
91266039,"2024-08-25 08:18:00","25:28 row",25:28.8,1528.8,,,4022,,23,588,3:10.0,51,475,199,127,101,40,Hwt,RowErg,No,,"2024-08-25 13:19:11"
90158759,"2024-07-20 08:14:00","v4:00/3:00r...4 row",16:00.0,960,12:00.0,720,3115,1648,29,719,2:34.0,96,629,167,147,101,40,Hwt,RowErg,No,,"2024-07-20 13:15:30"
90105894,"2024-07-18 07:18:00","30:00 row",30:00.0,1800,,,5024,,26,782,2:59.1,61,509,253,118,100,40,Hwt,RowErg,No,,"2024-07-18 12:19:41"
90105059,"2024-07-18 06:47:00","1:17 row",1:17.0,77,,,185,,22,28,3:28.1,39,433,9,95,102,40,Hwt,RowErg,No,,"2024-07-18 11:48:38"
89874940,"2024-07-10 07:45:00","v2:00/1:00r...8 row",16:00.0,960,8:00.0,480,3306,752,30,585,2:25.1,114,693,183,165,,40,Hwt,RowErg,No,,"2024-07-10 12:45:18"
89782512,"2024-07-07 08:35:00","v5:00/2:00r...5 row",15:00.0,900,10:00.0,600,3114,868,30,577,2:24.5,116,699,173,166,,40,Hwt,RowErg,No,,"2024-07-07 13:35:28"
89535426,"2024-06-28 07:17:00","v1000m/1:00r...5 row",25:45.9,1545.9,5:00.0,300,5000,227,30,811,2:34.5,95,626,268,167,100,40,Hwt,RowErg,No,,"2024-06-28 12:18:09"
89444374,"2024-06-25 07:22:00","27:10 row",27:10.1,1630.1,,,4736,,28,776,2:52.0,69,536,240,135,98,40,Hwt,RowErg,No,,"2024-06-25 12:23:44"
89362211,"2024-06-22 08:24:00","v500m/2:00r...8 row",18:54.0,1134,16:00.0,960,4000,527,30,653,2:21.7,123,722,226,171,101,40,Hwt,RowErg,No,,"2024-06-22 13:25:24"
89202983,"2024-06-17 07:13:00","5x1000m/1:30r row",27:14.1,1634.1,7:30.0,450,5000,372,31,898,2:43.4,80,576,259,149,101,40,Hwt,RowErg,No,,"2024-06-17 12:13:49"
89067905,"2024-06-12 07:34:00","v250m/0:45r...12 row",15:47.0,947,9:00.0,540,3000,811,31,595,2:37.8,89,606,155,152,105,40,Hwt,RowErg,No,,"2024-06-12 12:35:20"
88000439,"2024-05-08 07:10:00","v2:00/1:00r...8 row",16:00.0,960,8:00.0,480,2810,969,28,590,2:50.8,70,541,139,129,105,40,Hwt,RowErg,No,,"2024-05-08 12:11:10"
87964660,"2024-05-07 07:04:00","v1:00/1:00r...6 row",21:00.0,1260,6:00.0,360,3783,503,30,701,2:46.5,76,560,194,135,105,40,Hwt,RowErg,No,,"2024-05-07 12:05:06"
87876032,"2024-05-04 08:11:00","5x1000m/1:00r row",27:22.2,1642.2,5:00.0,300,5000,200,28,806,2:44.2,79,571,260,142,106,40,Hwt,RowErg,No,,"2024-05-04 13:12:15"
87812997,"2024-05-02 07:10:00","30:00 BikeErg",30:00.0,1800,,,11670,,65,1959,2:34.2,95,628,312,157,72,40,,BikeErg,No,,"2024-05-02 12:10:57"
